epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
363,9086.66,0.6283,0.31236,1.11612,0.9803,0.98963,0.98769,0.85211,0.64833,0.27841,1.18778,0.0028324,0.0028324,0.0028324
364,9111.37,0.62856,0.31124,1.12191,0.98029,0.98963,0.98776,0.85187,0.64849,0.28009,1.18787,0.0028126,0.0028126,0.0028126
365,9135.99,0.62231,0.30885,1.10953,0.98027,0.98963,0.98749,0.85294,0.64841,0.28099,1.18782,0.0027928,0.0027928,0.0027928
366,9160.57,0.63,0.31156,1.11512,0.98029,0.98963,0.98711,0.85222,0.6485,0.28196,1.188,0.002773,0.002773,0.002773
367,9185.27,0.62538,0.30808,1.11695,0.98032,0.98963,0.98687,0.85147,0.64852,0.28147,1.18805,0.0027532,0.0027532,0.0027532
368,9210.12,0.61778,0.30434,1.10769,0.98033,0.98963,0.98684,0.85069,0.64866,0.28137,1.18829,0.0027334,0.0027334,0.0027334
369,9234.88,0.62985,0.31772,1.11914,0.98034,0.98963,0.98685,0.85071,0.64861,0.28158,1.18837,0.0027136,0.0027136,0.0027136
370,9259.71,0.61929,0.3062,1.1148,0.98035,0.98963,0.9871,0.85084,0.64886,0.28184,1.18836,0.0026938,0.0026938,0.0026938
371,9284.5,0.63133,0.31163,1.11556,0.98033,0.98963,0.98724,0.85132,0.64893,0.2813,1.18849,0.002674,0.002674,0.002674
372,9309.27,0.62515,0.308,1.10932,0.98035,0.98963,0.987,0.85005,0.64882,0.28094,1.1884,0.0026542,0.0026542,0.0026542
373,9334.04,0.62925,0.31325,1.11466,0.98039,0.98963,0.98705,0.84932,0.64875,0.28132,1.18853,0.0026344,0.0026344,0.0026344
374,9358.85,0.62095,0.30982,1.11145,0.98042,0.98963,0.98715,0.8494,0.64896,0.28163,1.18867,0.0026146,0.0026146,0.0026146
375,9383.68,0.62782,0.31138,1.11962,0.98045,0.98963,0.98703,0.84843,0.64889,0.28192,1.18886,0.0025948,0.0025948,0.0025948
376,9408.52,0.62234,0.30745,1.11265,0.98046,0.98963,0.98674,0.84894,0.6489,0.2807,1.18887,0.002575,0.002575,0.002575
377,9433.3,0.61922,0.30461,1.11105,0.98048,0.98963,0.98674,0.84874,0.64893,0.28024,1.18894,0.0025552,0.0025552,0.0025552
378,9458.11,0.62663,0.30784,1.11874,0.98046,0.98963,0.98696,0.85052,0.64886,0.27952,1.18905,0.0025354,0.0025354,0.0025354
379,9482.77,0.62381,0.30768,1.11329,0.98049,0.98963,0.98671,0.84909,0.64868,0.27967,1.18894,0.0025156,0.0025156,0.0025156
380,9507.62,0.62951,0.30898,1.11719,0.98049,0.98963,0.98651,0.84886,0.64875,0.27932,1.18885,0.0024958,0.0024958,0.0024958
381,9532.23,0.61987,0.306,1.11198,0.98053,0.98963,0.9862,0.84819,0.64871,0.27969,1.1889,0.002476,0.002476,0.002476
382,9557.01,0.6166,0.31049,1.11406,0.98053,0.98963,0.98643,0.84833,0.64879,0.27942,1.18893,0.0024562,0.0024562,0.0024562
383,9581.45,0.61745,0.30083,1.10903,0.9806,0.98963,0.98642,0.84932,0.64876,0.27969,1.18897,0.0024364,0.0024364,0.0024364
384,9606.19,0.62049,0.3066,1.10856,0.98064,0.98963,0.98644,0.8494,0.64893,0.28063,1.18907,0.0024166,0.0024166,0.0024166
385,9631.02,0.61653,0.30085,1.10701,0.98063,0.98963,0.98649,0.8495,0.64903,0.28131,1.18918,0.0023968,0.0023968,0.0023968
386,9655.71,0.61801,0.30657,1.117,0.98063,0.98963,0.98656,0.84963,0.64883,0.28106,1.18917,0.002377,0.002377,0.002377
387,9680.47,0.619,0.30437,1.11112,0.9807,0.98963,0.98678,0.84965,0.64886,0.28079,1.1892,0.0023572,0.0023572,0.0023572
388,9705.23,0.61416,0.30565,1.1058,0.98071,0.98963,0.98686,0.84982,0.64894,0.28079,1.18931,0.0023374,0.0023374,0.0023374
389,9730.02,0.6176,0.30174,1.11105,0.9807,0.98963,0.9873,0.8503,0.64901,0.28062,1.18939,0.0023176,0.0023176,0.0023176
390,9754.92,0.61623,0.30166,1.1122,0.98073,0.98963,0.98731,0.84985,0.64922,0.28068,1.18943,0.0022978,0.0022978,0.0022978
391,9779.59,0.61157,0.2993,1.10787,0.98073,0.98963,0.98748,0.85,0.64904,0.2812,1.18949,0.002278,0.002278,0.002278
392,9804.29,0.61996,0.30645,1.11219,0.98076,0.98963,0.98747,0.85018,0.64929,0.28099,1.18961,0.0022582,0.0022582,0.0022582
393,9828.99,0.61277,0.29704,1.10355,0.98075,0.98963,0.9868,0.85012,0.64927,0.28149,1.18965,0.0022384,0.0022384,0.0022384
