epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,2808.4,0.78022,0.42172,1.279,0.98564,0.98699,0.98185,0.82915,0.68221,0.30741,1.21909,0.0078418,0.0078418,0.0078418
111,2833.3,0.79544,0.43392,1.28905,0.98558,0.98754,0.98384,0.83598,0.68227,0.29672,1.21497,0.007822,0.007822,0.007822
112,2858,0.78648,0.43013,1.27984,0.9836,0.98963,0.98377,0.83397,0.67678,0.30274,1.20988,0.0078022,0.0078022,0.0078022
113,2882.89,0.7864,0.42752,1.28593,0.9836,0.98936,0.98409,0.83661,0.6751,0.3094,1.20881,0.0077824,0.0077824,0.0077824
114,2907.64,0.78903,0.42637,1.28587,0.98551,0.98963,0.98292,0.83391,0.67532,0.29916,1.20957,0.0077626,0.0077626,0.0077626
115,2932.48,0.78828,0.43151,1.27828,0.98561,0.98929,0.98557,0.83811,0.66898,0.2886,1.20721,0.0077428,0.0077428,0.0077428
116,2957.31,0.77815,0.42271,1.26382,0.98529,0.98963,0.98334,0.83924,0.67505,0.29805,1.20762,0.007723,0.007723,0.007723
117,2982.06,0.78181,0.42165,1.26917,0.98515,0.98919,0.98451,0.83665,0.67457,0.2981,1.20698,0.0077032,0.0077032,0.0077032
118,3006.91,0.7777,0.42349,1.26049,0.98608,0.98959,0.98404,0.83302,0.67865,0.2923,1.20941,0.0076834,0.0076834,0.0076834
119,3031.81,0.77986,0.42057,1.26993,0.98399,0.98963,0.98546,0.84143,0.67167,0.30334,1.21267,0.0076636,0.0076636,0.0076636
120,3056.73,0.77856,0.42064,1.25457,0.98597,0.98445,0.98568,0.83964,0.67183,0.30571,1.21033,0.0076438,0.0076438,0.0076438
121,3081.63,0.77683,0.41225,1.2624,0.98349,0.98963,0.98467,0.83503,0.68649,0.30611,1.21713,0.007624,0.007624,0.007624
122,3106.49,0.77308,0.41673,1.25954,0.98306,0.98963,0.98242,0.83397,0.67747,0.30599,1.21122,0.0076042,0.0076042,0.0076042
123,3131.36,0.77662,0.41655,1.25776,0.98406,0.98911,0.98377,0.83473,0.67473,0.29925,1.20697,0.0075844,0.0075844,0.0075844
124,3156.31,0.78131,0.42236,1.25937,0.98546,0.98756,0.98411,0.83596,0.67102,0.30112,1.21,0.0075646,0.0075646,0.0075646
125,3181.19,0.7768,0.4129,1.26367,0.98282,0.98963,0.98448,0.83705,0.68016,0.30795,1.21235,0.0075448,0.0075448,0.0075448
126,3206.12,0.77309,0.41998,1.25695,0.98286,0.98963,0.98402,0.83629,0.66748,0.30126,1.20376,0.007525,0.007525,0.007525
127,3230.97,0.77855,0.41313,1.26149,0.98525,0.98721,0.98234,0.83736,0.67077,0.29772,1.2084,0.0075052,0.0075052,0.0075052
128,3255.77,0.776,0.41128,1.26033,0.985,0.98721,0.98244,0.83643,0.67046,0.3021,1.20798,0.0074854,0.0074854,0.0074854
129,3280.52,0.77759,0.41649,1.26211,0.9856,0.98963,0.98097,0.83071,0.66959,0.30393,1.20709,0.0074656,0.0074656,0.0074656
130,3305.33,0.77125,0.41214,1.25751,0.98491,0.98963,0.98505,0.84116,0.66713,0.30836,1.20499,0.0074458,0.0074458,0.0074458
131,3330.13,0.77514,0.41551,1.25159,0.98561,0.98963,0.98272,0.83726,0.67021,0.30771,1.2111,0.007426,0.007426,0.007426
132,3354.9,0.7691,0.40777,1.2425,0.98531,0.98721,0.98406,0.83888,0.66495,0.29774,1.20754,0.0074062,0.0074062,0.0074062
133,3379.58,0.77327,0.41669,1.25322,0.98533,0.98721,0.98465,0.83442,0.67185,0.29463,1.20904,0.0073864,0.0073864,0.0073864
134,3404.49,0.76152,0.40316,1.24437,0.98388,0.98963,0.98261,0.83666,0.67092,0.29603,1.21015,0.0073666,0.0073666,0.0073666
135,3429.26,0.76364,0.40543,1.24973,0.98563,0.98884,0.98203,0.83681,0.66483,0.29101,1.20199,0.0073468,0.0073468,0.0073468
136,3454.23,0.75635,0.40258,1.23977,0.98519,0.98963,0.98343,0.84033,0.66283,0.28946,1.20065,0.007327,0.007327,0.007327
137,3479.09,0.76591,0.41016,1.24158,0.9828,0.98963,0.98624,0.84266,0.66728,0.29439,1.20185,0.0073072,0.0073072,0.0073072
138,3504.01,0.75589,0.40442,1.23337,0.98249,0.98857,0.98267,0.8391,0.66332,0.29177,1.19825,0.0072874,0.0072874,0.0072874
139,3528.96,0.75768,0.40601,1.23522,0.98575,0.98957,0.98282,0.83446,0.66545,0.29748,1.20315,0.0072676,0.0072676,0.0072676
140,3553.83,0.75562,0.39828,1.2375,0.98517,0.98963,0.98504,0.84082,0.66215,0.28937,1.19919,0.0072478,0.0072478,0.0072478
141,3578.71,0.76254,0.39777,1.24162,0.98252,0.98912,0.98617,0.84331,0.6587,0.29047,1.19755,0.007228,0.007228,0.007228
142,3603.64,0.76309,0.40788,1.24718,0.98487,0.98721,0.98493,0.83962,0.66717,0.29026,1.20655,0.0072082,0.0072082,0.0072082
143,3628.61,0.75974,0.40235,1.23336,0.98478,0.98774,0.98483,0.84151,0.66674,0.29847,1.20474,0.0071884,0.0071884,0.0071884
144,3653.58,0.75909,0.39956,1.22986,0.98419,0.98963,0.98571,0.84409,0.66143,0.29867,1.2012,0.0071686,0.0071686,0.0071686
145,3678.47,0.74709,0.39095,1.22656,0.9849,0.98846,0.98444,0.84087,0.66342,0.29886,1.20126,0.0071488,0.0071488,0.0071488
146,3703.29,0.75811,0.39501,1.2353,0.98475,0.98963,0.98418,0.84396,0.66193,0.30339,1.19894,0.007129,0.007129,0.007129
147,3728.16,0.75323,0.39532,1.2358,0.98543,0.98963,0.98624,0.84237,0.66409,0.29454,1.19828,0.0071092,0.0071092,0.0071092
148,3753.03,0.75494,0.40476,1.2319,0.98567,0.98963,0.98652,0.84447,0.66695,0.29698,1.20398,0.0070894,0.0070894,0.0070894
149,3777.88,0.7551,0.38336,1.2394,0.98404,0.98963,0.98508,0.84019,0.6687,0.29498,1.20624,0.0070696,0.0070696,0.0070696
150,3802.73,0.75014,0.39747,1.23797,0.98588,0.98954,0.98652,0.84351,0.67138,0.28646,1.20592,0.0070498,0.0070498,0.0070498
151,3827.58,0.76075,0.40416,1.2369,0.9839,0.98963,0.9857,0.84188,0.66068,0.29161,1.1959,0.00703,0.00703,0.00703
152,3852.33,0.75181,0.39195,1.2268,0.98142,0.98963,0.98718,0.84725,0.66249,0.29058,1.19767,0.0070102,0.0070102,0.0070102
153,3877.03,0.74985,0.3955,1.23655,0.98292,0.98963,0.98487,0.83996,0.66047,0.28584,1.19353,0.0069904,0.0069904,0.0069904
154,3901.91,0.73765,0.39279,1.22079,0.98559,0.98963,0.9835,0.84372,0.65325,0.28336,1.18903,0.0069706,0.0069706,0.0069706
155,3926.7,0.75004,0.39565,1.2329,0.98553,0.98963,0.9854,0.84385,0.65073,0.2802,1.18976,0.0069508,0.0069508,0.0069508
156,3951.57,0.75189,0.39904,1.22447,0.98516,0.98963,0.98638,0.84408,0.65966,0.28245,1.19353,0.006931,0.006931,0.006931
157,3976.48,0.7391,0.39093,1.22385,0.98437,0.98963,0.98529,0.84031,0.66371,0.29345,1.19558,0.0069112,0.0069112,0.0069112
158,4001.38,0.7456,0.38959,1.21945,0.98602,0.98909,0.98687,0.8461,0.66004,0.28252,1.19414,0.0068914,0.0068914,0.0068914
159,4026.3,0.74565,0.39178,1.22266,0.98619,0.98932,0.98645,0.84245,0.65608,0.28662,1.19174,0.0068716,0.0068716,0.0068716
160,4051.15,0.75012,0.39129,1.22539,0.98372,0.98963,0.98629,0.84373,0.65766,0.28716,1.19256,0.0068518,0.0068518,0.0068518
161,4076.11,0.72755,0.38457,1.209,0.98442,0.98963,0.9867,0.84366,0.65923,0.28652,1.19407,0.006832,0.006832,0.006832
162,4101.05,0.75051,0.38885,1.22962,0.98358,0.98963,0.98651,0.84803,0.65813,0.28761,1.19406,0.0068122,0.0068122,0.0068122
163,4126,0.73962,0.37888,1.21519,0.98507,0.98963,0.98646,0.84628,0.65829,0.28755,1.19586,0.0067924,0.0067924,0.0067924
164,4150.84,0.73582,0.38209,1.21867,0.98347,0.98963,0.98408,0.8429,0.66018,0.29006,1.19587,0.0067726,0.0067726,0.0067726
165,4175.67,0.73526,0.38416,1.21035,0.98301,0.98963,0.98597,0.84656,0.66017,0.28865,1.19232,0.0067528,0.0067528,0.0067528
166,4200.58,0.74042,0.38355,1.21757,0.98349,0.98963,0.98654,0.84606,0.66151,0.2879,1.19392,0.006733,0.006733,0.006733
167,4225.41,0.74354,0.38353,1.22366,0.98342,0.98963,0.9871,0.84318,0.65966,0.28235,1.19537,0.0067132,0.0067132,0.0067132
168,4250.34,0.74135,0.38687,1.21786,0.98564,0.98963,0.98707,0.84216,0.66023,0.29016,1.19769,0.0066934,0.0066934,0.0066934
169,4275.22,0.74031,0.38691,1.22395,0.98243,0.98963,0.98609,0.84233,0.66258,0.2961,1.19904,0.0066736,0.0066736,0.0066736
170,4300.07,0.73374,0.38373,1.20279,0.98326,0.98963,0.98249,0.83992,0.6667,0.29467,1.20332,0.0066538,0.0066538,0.0066538
171,4324.85,0.73751,0.39162,1.20898,0.98515,0.98963,0.98621,0.84443,0.66553,0.2884,1.19866,0.006634,0.006634,0.006634
172,4349.78,0.73232,0.38719,1.21323,0.98443,0.98903,0.98375,0.83939,0.6637,0.29532,1.20032,0.0066142,0.0066142,0.0066142
173,4374.53,0.73248,0.3784,1.20602,0.98302,0.98757,0.9855,0.84034,0.66388,0.29493,1.20002,0.0065944,0.0065944,0.0065944
174,4399.39,0.73665,0.38817,1.21102,0.98467,0.98963,0.98629,0.84319,0.6644,0.29056,1.20184,0.0065746,0.0065746,0.0065746
175,4424.18,0.73714,0.37691,1.21468,0.98337,0.98786,0.98713,0.84514,0.66073,0.29157,1.19866,0.0065548,0.0065548,0.0065548
176,4449.05,0.73341,0.38608,1.20678,0.98449,0.98721,0.98713,0.84808,0.65725,0.28681,1.19659,0.006535,0.006535,0.006535
